Y,age35_twogrid,local_threegrid,people_threegrid,rich1_threegrid,road,internetj1500,entertainmentj1000,residentialj1000,atmj1500,hospitalj1500,non_local_twogrid,age25_threegrid
0.312454771,0.181980552,0.726290603,13792,0,26.60238647,12,4,27,38,9,0.25362175,0.238834107
0.322242561,0.173697805,0.758378378,12950,0,27.93969185,9,3,49,31,9,0.208996987,0.22980695
0.405318762,0.167741935,0.787609274,13155,0,29.45562622,8,3,54,29,9,0.187327189,0.236716078
0.513415565,0.159721011,0.810971809,14437,0.000277066,31.27406532,7,3,56,28,10,0.155187446,0.235436725
0.63214881,0.156292538,0.790501764,18993,0.000210604,32.80366432,7,4,51,33,15,0.209503774,0.25930606
0.700481326,0.158950617,0.764999376,16034,0.00024947,33.22417053,6,3,55,43,23,0.225308642,0.278158912
0.684368929,0.157757335,0.735654854,16225,0.000246533,32.92687805,6,2,59,58,26,0.239930383,0.278952234
0.582980184,0.170491803,0.696266044,17140,0.000233372,31.7195314,7,2,72,56,28,0.254918033,0.280046674
0.415874688,0.169949661,0.61508172,18539,0.000215761,30.08930328,4,2,80,63,29,0.350514336,0.301526512
0.227531256,0.186788456,0.586822198,17317,0,28.455802,4,2,65,64,28,0.350807519,0.309695675
0.079970714,0.192246415,0.543053435,13100,0.000305344,27.92750432,4,4,57,60,27,0.330191184,0.297022901
0.015913452,0.193030594,0.559963727,13233,0.000302275,28.95383606,4,4,46,57,26,0.318013445,0.297816066
0.000917202,0.190398698,0.59346211,13460,0.000297177,30.79648582,3,3,42,49,23,0.29007323,0.294130758
0,0.198724761,0.622019802,12625,0.000316832,31.56006493,3,1,38,47,17,0.189160468,0.295841584
0,0.192370319,0.731386215,9039,0.000442527,32.56311554,3,1,34,44,12,0.174691789,0.254563558
0,0.191463037,0.737944608,7113,0.000562351,34.07028397,1,1,31,34,10,0.178162697,0.244903697
0,0.19706104,0.732083406,5707,0,35.39200943,1,1,21,31,7,0.185003768,0.247065008
0,0.168093385,0.694525194,4128,0,36.2467691,1,0,12,19,7,0.259922179,0.232315891
0,0.081395349,0.390243902,205,0,36.97880859,0,0,0,0,0,0.546511628,0.253658537
2.963773135,0.199433154,0.455208298,29213,0,20.3306543,8,13,50,43,12,0.516521499,0.244411735
2.509312316,0.201185164,0.477329741,21526,0,21.40431389,9,12,41,47,13,0.477576999,0.263309486
1.946946004,0.200304714,0.503601834,19851,0,23.13815858,12,8,43,53,14,0.440939236,0.269407083
1.307023517,0.203596288,0.542706334,16672,0,24.26379013,14,8,30,49,17,0.298578886,0.281190019
0.69168886,0.15865291,0.732205368,15426,0,24.92955826,12,3,25,44,14,0.212283434,0.236354207
